timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732759329682,50,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,2,2,http://172.23.66.32:3000/proceso_c,45,0,21
1732759329682,50,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,2,2,http://172.23.66.32:3000/proceso_c,45,0,20
1732759329754,14,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732759329855,13,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732759329955,17,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,17,0,2
1732759330054,14,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732759330166,18,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,1
1732759330252,14,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732759330347,22,HTTP Request,200,OK,Thread Group 1-9,text,true,,521,129,1,1,http://172.23.66.32:3000/proceso_c,22,0,2
1732759330446,19,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,19,0,4
1732759330546,20,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,20,0,8
1732759330645,23,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,23,0,2
1732759330744,19,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,19,0,1
1732759330842,15,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1732759330941,11,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
