timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733076186491,477,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,169,169,http://172.23.66.32:3000/proceso_c,471,0,23
1733076186476,534,HTTP Request,200,OK,Thread Group 1-75,text,true,,507,129,175,175,http://172.23.66.32:3000/proceso_c,534,0,49
1733076186486,767,HTTP Request,200,OK,Thread Group 1-44,text,true,,521,129,217,217,http://172.23.66.32:3000/proceso_c,767,0,35
1733076186511,749,HTTP Request,200,OK,Thread Group 1-81,text,true,,521,129,217,217,http://172.23.66.32:3000/proceso_c,748,0,5
1733076186488,773,HTTP Request,200,OK,Thread Group 1-77,text,true,,507,129,216,216,http://172.23.66.32:3000/proceso_c,773,0,33
1733076186492,802,HTTP Request,200,OK,Thread Group 1-24,text,true,,549,129,220,220,http://172.23.66.32:3000/proceso_c,802,0,23
1733076186486,809,HTTP Request,200,OK,Thread Group 1-45,text,true,,549,129,220,220,http://172.23.66.32:3000/proceso_c,809,0,29
1733076186485,824,HTTP Request,200,OK,Thread Group 1-39,text,true,,549,129,222,222,http://172.23.66.32:3000/proceso_c,824,0,37
1733076186481,859,HTTP Request,200,OK,Thread Group 1-17,text,true,,535,129,226,226,http://172.23.66.32:3000/proceso_c,859,0,47
1733076186494,869,HTTP Request,200,OK,Thread Group 1-55,text,true,,549,129,229,229,http://172.23.66.32:3000/proceso_c,869,0,35
1733076186498,875,HTTP Request,200,OK,Thread Group 1-12,text,true,,535,129,230,230,http://172.23.66.32:3000/proceso_c,875,0,30
1733076186498,875,HTTP Request,200,OK,Thread Group 1-32,text,true,,549,129,229,229,http://172.23.66.32:3000/proceso_c,875,0,29
1733076186499,887,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,230,230,http://172.23.66.32:3000/proceso_c,887,0,27
1733076186491,899,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,230,230,http://172.23.66.32:3000/proceso_c,899,0,23
1733076186491,910,HTTP Request,200,OK,Thread Group 1-3,text,true,,521,129,231,231,http://172.23.66.32:3000/proceso_c,910,0,24
1733076186477,957,HTTP Request,200,OK,Thread Group 1-37,text,true,,507,129,235,235,http://172.23.66.32:3000/proceso_c,957,0,47
1733076186492,977,HTTP Request,200,OK,Thread Group 1-31,text,true,,549,129,241,241,http://172.23.66.32:3000/proceso_c,977,0,31
1733076186492,981,HTTP Request,200,OK,Thread Group 1-65,text,true,,521,129,241,241,http://172.23.66.32:3000/proceso_c,981,0,30
1733076186494,1025,HTTP Request,200,OK,Thread Group 1-48,text,true,,549,129,244,244,http://172.23.66.32:3000/proceso_c,1025,0,29
1733076186499,1021,HTTP Request,200,OK,Thread Group 1-35,text,true,,507,129,245,245,http://172.23.66.32:3000/proceso_c,1021,0,28
1733076186489,1033,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,246,246,http://172.23.66.32:3000/proceso_c,1033,0,29
1733076186495,1023,HTTP Request,200,OK,Thread Group 1-58,text,true,,507,129,244,244,http://172.23.66.32:3000/proceso_c,1023,0,28
1733076186491,1027,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,244,244,http://172.23.66.32:3000/proceso_c,1027,0,23
1733076186497,1039,HTTP Request,200,OK,Thread Group 1-60,text,true,,507,129,244,244,http://172.23.66.32:3000/proceso_c,1039,0,30
1733076186485,1062,HTTP Request,200,OK,Thread Group 1-40,text,true,,521,129,246,246,http://172.23.66.32:3000/proceso_c,1062,0,36
1733076186491,1084,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,250,250,http://172.23.66.32:3000/proceso_c,1084,0,23
1733076186491,1099,HTTP Request,200,OK,Thread Group 1-2,text,true,,535,129,251,251,http://172.23.66.32:3000/proceso_c,1099,0,24
1733076186498,1091,HTTP Request,200,OK,Thread Group 1-73,text,true,,549,129,251,251,http://172.23.66.32:3000/proceso_c,1091,0,28
1733076186490,1100,HTTP Request,200,OK,Thread Group 1-18,text,true,,521,129,249,249,http://172.23.66.32:3000/proceso_c,1100,0,24
1733076186486,1104,HTTP Request,200,OK,Thread Group 1-41,text,true,,521,129,249,249,http://172.23.66.32:3000/proceso_c,1104,0,36
1733076186485,1106,HTTP Request,200,OK,Thread Group 1-67,text,true,,535,129,248,248,http://172.23.66.32:3000/proceso_c,1106,0,39
1733076186486,1106,HTTP Request,200,OK,Thread Group 1-43,text,true,,549,129,247,247,http://172.23.66.32:3000/proceso_c,1106,0,35
1733076186496,1096,HTTP Request,200,OK,Thread Group 1-51,text,true,,507,129,247,247,http://172.23.66.32:3000/proceso_c,1096,0,32
1733076186494,1099,HTTP Request,200,OK,Thread Group 1-59,text,true,,507,129,247,247,http://172.23.66.32:3000/proceso_c,1099,0,28
1733076186539,1054,HTTP Request,200,OK,Thread Group 1-86,text,true,,507,129,245,245,http://172.23.66.32:3000/proceso_c,1054,0,1
1733076186527,1067,HTTP Request,200,OK,Thread Group 1-84,text,true,,535,129,243,243,http://172.23.66.32:3000/proceso_c,1067,0,3
1733076186477,1119,HTTP Request,200,OK,Thread Group 1-62,text,true,,507,129,243,243,http://172.23.66.32:3000/proceso_c,1119,0,52
1733076186516,1081,HTTP Request,200,OK,Thread Group 1-82,text,true,,521,129,242,242,http://172.23.66.32:3000/proceso_c,1081,0,8
1733076186475,1127,HTTP Request,200,OK,Thread Group 1-34,text,true,,535,129,241,241,http://172.23.66.32:3000/proceso_c,1127,0,44
1733076186498,1105,HTTP Request,200,OK,Thread Group 1-74,text,true,,507,129,240,240,http://172.23.66.32:3000/proceso_c,1105,0,28
1733076186494,1110,HTTP Request,200,OK,Thread Group 1-53,text,true,,535,129,239,239,http://172.23.66.32:3000/proceso_c,1110,0,28
1733076186509,1096,HTTP Request,200,OK,Thread Group 1-80,text,true,,521,129,238,238,http://172.23.66.32:3000/proceso_c,1096,0,12
1733076186495,1111,HTTP Request,200,OK,Thread Group 1-49,text,true,,521,129,237,237,http://172.23.66.32:3000/proceso_c,1111,0,33
1733076186489,1127,HTTP Request,200,OK,Thread Group 1-10,text,true,,521,129,239,239,http://172.23.66.32:3000/proceso_c,1127,0,27
1733076186478,1140,HTTP Request,200,OK,Thread Group 1-4,text,true,,549,129,238,238,http://172.23.66.32:3000/proceso_c,1140,0,50
1733076186652,997,HTTP Request,200,OK,Thread Group 1-108,text,true,,507,129,243,243,http://172.23.66.32:3000/proceso_c,997,0,1
1733076186495,1177,HTTP Request,200,OK,Thread Group 1-28,text,true,,507,129,246,246,http://172.23.66.32:3000/proceso_c,1177,0,34
1733076186499,1176,HTTP Request,200,OK,Thread Group 1-79,text,true,,507,129,245,245,http://172.23.66.32:3000/proceso_c,1176,0,29
1733076186482,1206,HTTP Request,200,OK,Thread Group 1-5,text,true,,549,129,246,246,http://172.23.66.32:3000/proceso_c,1206,0,48
1733076186493,1196,HTTP Request,200,OK,Thread Group 1-36,text,true,,521,129,245,245,http://172.23.66.32:3000/proceso_c,1196,0,30
1733076186495,1195,HTTP Request,200,OK,Thread Group 1-72,text,true,,521,129,244,244,http://172.23.66.32:3000/proceso_c,1195,0,28
