timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1733080374110,50,HTTP Request,200,OK,Thread Group 1-1,text,true,,521,129,1,1,http://172.23.66.32:3000/proceso_c,45,0,19
1733080376877,10,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,2
1733080379733,10,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1733080382587,11,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1733080385443,8,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,8,0,2
1733080388299,11,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,3
1733080391156,9,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,3
1733080394011,21,HTTP Request,200,OK,Thread Group 1-8,text,true,,521,129,1,1,http://172.23.66.32:3000/proceso_c,20,0,1
1733080396867,8,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,8,0,2
1733080399723,9,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,2
1733080402580,8,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,7,0,2
1733080405435,8,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,8,0,2
1733080408292,12,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1733080411143,11,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,4
1733080413998,14,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1733080416854,15,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1733080419715,13,HTTP Request,200,OK,Thread Group 1-17,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1733080422568,13,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,3
1733080425420,10,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1733080428279,11,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1733080431136,10,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1733080455777,37,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,33,0,20
1733080458556,10,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,4
1733080461408,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1733080464264,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,1
1733080467121,12,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,3
1733080469976,10,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1733080472832,10,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1733080475688,14,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,3
